ID	Log2FoldChange	PValue
ENSG00000075142	-0.49	0.003218894
ENSG00000084444	-0.55	0.003225069
ENSG00000198105	0.59	0.003242604
ENSG00000132463	-0.34	0.003254615
ENSG00000106772	-0.82	0.003254615
ENSG00000198873	-0.49	0.003254615
ENSG00000169032	-0.46	0.003254615
ENSG00000142459	0.38	0.003254615
ENSG00000188015	0.83	0.003306825
ENSG00000172081	-0.4	0.003306825
ENSG00000108700	3.68	0.003335719
ENSG00000135917	-1.4	0.003362311
ENSG00000109572	0.39	0.003362424
ENSG00000105974	-0.68	0.003375162
ENSG00000117600	2.07	0.003412606
ENSG00000172935	-0.55	0.003418475
ENSG00000189298	0.57	0.003423109
ENSG00000124104	0.79	0.003460291
ENSG00000140511	-1.37	0.003474559
ENSG00000170242	-0.48	0.003489567
ENSG00000130921	0.4	0.003489567
ENSG00000125657	1.83	0.003496195
ENSG00000110422	-0.57	0.003512659
ENSG00000154134	0.61	0.003512659
ENSG00000125398	1.25	0.003514195
ENSG00000185122	-0.41	0.003518325
ENSG00000261121	3.16	0.003520928
ENSG00000139880	0.73	0.003520956
ENSG00000105771	0.34	0.003532732
ENSG00000113810	0.49	0.003536581
ENSG00000124134	2.74	0.003541039
ENSG00000137193	0.85	0.003545336
ENSG00000128594	1.8	0.003546102
ENSG00000272168	1.62	0.003554393
ENSG00000159713	1.65	0.003577918
ENSG00000141452	-0.54	0.003577918
ENSG00000056736	1.01	0.003580233
ENSG00000148356	0.51	0.003581633
ENSG00000080493	0.79	0.003582294
ENSG00000197943	-1.77	0.003582812
ENSG00000123104	-0.88	0.003620562
ENSG00000110768	-0.38	0.003623184
ENSG00000056586	-0.37	0.003623857
ENSG00000184007	-0.26	0.003633934
ENSG00000099849	-1.26	0.003639076
ENSG00000132361	-0.48	0.003649789
ENSG00000004059	-0.37	0.003667242
ENSG00000123130	-0.42	0.003698672
ENSG00000154027	-0.97	0.00370416
ENSG00000196150	0.56	0.003724647
ENSG00000090565	-0.5	0.003751929
ENSG00000237172	0.55	0.003751929
ENSG00000068305	-0.54	0.003806048
ENSG00000168538	-0.41	0.003810807
ENSG00000134532	-0.67	0.00381776
ENSG00000120318	0.56	0.003837692
ENSG00000166579	-0.35	0.00384108
ENSG00000147202	-0.69	0.003842431
ENSG00000123342	-0.42	0.00384896
ENSG00000273259	-3.86	0.003865535
ENSG00000102935	1.15	0.003865535
ENSG00000101974	-0.37	0.003908089
ENSG00000177628	0.32	0.003911158
ENSG00000136783	-0.51	0.003933592
ENSG00000136052	0.99	0.003938814
ENSG00000017483	0.96	0.003938814
ENSG00000068784	0.57	0.003943244
ENSG00000121621	1.48	0.003951447
ENSG00000152926	0.61	0.003974663
ENSG00000165899	-1.88	0.003974663
ENSG00000132199	0.75	0.003974663
ENSG00000278029	1.9	0.003996521
ENSG00000177425	-0.95	0.003999739
ENSG00000147274	0.48	0.004038559
ENSG00000160360	0.44	0.004063481
ENSG00000186310	0.98	0.004070511
ENSG00000163788	-0.41	0.00411698
ENSG00000171603	-0.32	0.00413334
ENSG00000148719	-0.35	0.00413334
ENSG00000091262	1.08	0.004136803
ENSG00000231246	-3.29	0.004169039
ENSG00000105186	-0.39	0.004187316
ENSG00000078269	0.61	0.004194662
ENSG00000067177	-0.88	0.004197774
ENSG00000150990	-0.62	0.004213253
ENSG00000163947	0.89	0.004287995
ENSG00000095585	2.59	0.004287995
ENSG00000269289	-3.08	0.004313743
ENSG00000197062	0.53	0.004392484
ENSG00000115307	-0.38	0.004406745
ENSG00000198832	-0.25	0.004419648
ENSG00000105750	0.92	0.004420026
ENSG00000166398	-0.53	0.004426309
ENSG00000100605	-0.46	0.004441256
ENSG00000153823	-0.63	0.00444257
ENSG00000172354	-0.36	0.00444257
ENSG00000237149	0.86	0.00444257
ENSG00000175324	-0.53	0.004488458
ENSG00000015520	2.55	0.00454079
ENSG00000135823	-0.48	0.004573431
ENSG00000176845	0.56	0.004585846
ENSG00000258457	2.46	0.004610016
ENSG00000164081	-0.33	0.004639235
ENSG00000168172	-0.31	0.004639235
ENSG00000162458	-0.47	0.004642283
ENSG00000006607	-0.6	0.004653815
ENSG00000197959	0.98	0.004680777
ENSG00000276023	-0.5	0.004684084
ENSG00000110911	-0.34	0.004696771
ENSG00000138380	0.57	0.004719117
ENSG00000124006	-0.36	0.004719117
ENSG00000267002	0.63	0.004753285
ENSG00000136111	-0.56	0.004777143
ENSG00000082153	-0.27	0.004806114
ENSG00000196781	-0.89	0.004847444
ENSG00000131730	1.23	0.004859132
ENSG00000105971	-0.62	0.004859132
ENSG00000035664	-1.55	0.004859132
ENSG00000167380	0.48	0.004859132
ENSG00000186665	0.71	0.004918765
ENSG00000034533	0.67	0.0049252
ENSG00000247796	0.79	0.004947222
ENSG00000256616	2.23	0.005001512
ENSG00000125746	-0.42	0.005005183
ENSG00000087076	0.64	0.005024353
ENSG00000250934	-3.62	0.005050205
ENSG00000276107	-1.42	0.005073061
ENSG00000132170	-1.04	0.005073562
ENSG00000164920	0.73	0.005073562
ENSG00000164930	-0.98	0.005073562
ENSG00000169047	-0.73	0.005091011
ENSG00000154864	2.58	0.005091011
ENSG00000088854	-0.33	0.005117167
ENSG00000213918	0.62	0.005145725
ENSG00000111203	0.5	0.005148267
ENSG00000007944	0.5	0.005150384
ENSG00000114735	0.41	0.005150471
ENSG00000124374	-1.44	0.005161695
ENSG00000110906	-0.52	0.005167933
ENSG00000117479	-1.06	0.005189769
ENSG00000160746	-0.42	0.005194559
ENSG00000136156	-0.52	0.00521184
ENSG00000143549	-0.36	0.005251129
ENSG00000162368	-0.42	0.005281158
ENSG00000225302	0.97	0.005322542
ENSG00000162687	-0.92	0.005328503
ENSG00000134371	-0.32	0.005339273
ENSG00000064201	1.59	0.005340121
ENSG00000124466	1.42	0.005340121
ENSG00000120217	0.81	0.005343854
ENSG00000113441	-0.57	0.005360585
ENSG00000107438	-0.74	0.005363386
ENSG00000116016	0.63	0.00537276
ENSG00000153179	-0.41	0.005381403
ENSG00000187479	-1.15	0.005413942
ENSG00000173114	1.09	0.005434253
ENSG00000107821	1.08	0.005480747
ENSG00000137269	-0.68	0.005498239
ENSG00000118762	-0.87	0.005523573
ENSG00000164023	-0.56	0.005523573
ENSG00000148730	-0.7	0.005565672
ENSG00000100767	-1.07	0.005565672
ENSG00000182054	-0.6	0.005579272
ENSG00000162604	-0.65	0.005585704
ENSG00000143862	-0.37	0.005630515
ENSG00000134986	0.61	0.005696103
ENSG00000143811	-0.38	0.005700386
ENSG00000135776	-0.37	0.005718583
ENSG00000163485	1.65	0.00572842
ENSG00000171817	1.17	0.005753788
ENSG00000135723	0.81	0.005762351
ENSG00000149403	2.12	0.00576575
ENSG00000070371	-0.55	0.00576575
ENSG00000137693	-0.35	0.005816653
ENSG00000188613	-1.32	0.005824242
ENSG00000138696	-0.88	0.005849935
ENSG00000077943	-1.1	0.00586203
ENSG00000140600	2.7	0.005882128
ENSG00000206561	1.24	0.005891348
ENSG00000086102	0.35	0.005902354
ENSG00000148153	0.39	0.005939366
ENSG00000137821	0.62	0.005939366
ENSG00000145242	1.48	0.005959194
ENSG00000086015	0.34	0.005959744
ENSG00000176148	-0.34	0.005965716
ENSG00000186063	-0.37	0.005981032
ENSG00000147475	0.4	0.00600896
ENSG00000108861	-0.51	0.006044055
ENSG00000069431	-1.04	0.006049125
ENSG00000159593	-0.34	0.006059165
ENSG00000198467	-0.75	0.006125768
ENSG00000048540	-1.44	0.0061866
ENSG00000268894	-4.17	0.006233907
ENSG00000132613	-0.77	0.006238882
ENSG00000091164	0.27	0.006249758
ENSG00000164574	-0.46	0.006331816
ENSG00000066468	2.42	0.006331816
ENSG00000154114	-0.3	0.006341209
ENSG00000185189	-0.49	0.006360065
ENSG00000133639	-0.46	0.006385087
ENSG00000108588	-0.27	0.006388882
ENSG00000054965	0.25	0.006413797
ENSG00000163629	0.44	0.00643009
ENSG00000277351	1.82	0.00645116
ENSG00000140497	-0.31	0.00645116
ENSG00000197380	0.52	0.00645116
ENSG00000153113	-0.36	0.006468281
ENSG00000157657	0.64	0.006482682
ENSG00000146433	-0.29	0.006493259
ENSG00000170854	0.55	0.006494667
ENSG00000147324	-0.44	0.006558473
ENSG00000058272	-0.32	0.006632197
ENSG00000165244	-1.24	0.006634574
ENSG00000148180	-0.53	0.006647687
ENSG00000088826	0.77	0.006722255
ENSG00000106993	-0.57	0.006726136
ENSG00000254986	-0.46	0.006743344
ENSG00000267683	2.5	0.00678111
ENSG00000041515	-1.89	0.006820963
ENSG00000134874	0.43	0.006851974
ENSG00000118680	-0.47	0.006888983
ENSG00000139410	0.88	0.006892804
ENSG00000100380	0.27	0.006892804
ENSG00000244405	-0.82	0.006897799
ENSG00000186314	-1.21	0.006940708
ENSG00000168924	-0.36	0.006947597
ENSG00000101439	-0.39	0.007004999
ENSG00000014216	-0.27	0.007021238
ENSG00000133466	0.66	0.007025724
ENSG00000105989	3.09	0.007038927
ENSG00000146966	-0.43	0.007054292
ENSG00000133818	-0.65	0.007061855
ENSG00000196214	0.61	0.007109551
ENSG00000135956	-0.35	0.007133145
ENSG00000087191	-0.48	0.007151527
ENSG00000150768	-0.42	0.007195617
ENSG00000170456	0.48	0.007265667
ENSG00000167291	-0.55	0.007278083
ENSG00000053747	-0.88	0.007308892
ENSG00000117724	0.66	0.007310896
ENSG00000158201	-0.77	0.007314213
ENSG00000135318	0.87	0.007411515
ENSG00000185418	0.81	0.007416343
ENSG00000122490	-0.4	0.007508385
ENSG00000146278	-0.46	0.007558503
ENSG00000116171	0.3	0.007587872
ENSG00000131771	3.08	0.007588524
ENSG00000180488	-0.5	0.007592819
ENSG00000137309	0.48	0.007637592
ENSG00000124608	0.79	0.00766193
ENSG00000110583	0.51	0.007743414
ENSG00000247903	-0.99	0.007743414
ENSG00000263567	5.4	0.007775754
ENSG00000136720	-0.53	0.007809273
ENSG00000138375	0.28	0.00787282
ENSG00000185875	0.82	0.00787282
ENSG00000100234	0.66	0.00787282
ENSG00000046653	-2.58	0.007929146
ENSG00000275131	-0.84	0.007940297
ENSG00000242125	-0.59	0.007943352
ENSG00000270093	2.03	0.007943352
ENSG00000157224	-0.41	0.00796448
ENSG00000104331	-0.32	0.007966031
ENSG00000196295	0.44	0.00797644
ENSG00000095397	0.77	0.008004026
ENSG00000105327	0.76	0.008009013
ENSG00000132357	-0.34	0.008033817
ENSG00000280187	0.9	0.008035315
ENSG00000166189	-0.49	0.008064692
ENSG00000229647	-2.99	0.008072316
ENSG00000186812	0.31	0.008091495
ENSG00000259448	-1.9	0.0081188
ENSG00000143398	-0.38	0.008122168
ENSG00000170873	-1.96	0.008159261
ENSG00000161091	-0.48	0.008188231
ENSG00000139910	0.62	0.008231763
ENSG00000143434	-0.86	0.008233136
ENSG00000065491	0.41	0.008233136
ENSG00000099341	-0.31	0.008257033
ENSG00000099840	-1.04	0.008292738
ENSG00000136295	0.74	0.008294344
ENSG00000137869	-1.14	0.008294344
ENSG00000079101	2.97	0.008294344
ENSG00000078804	-0.59	0.008301592
ENSG00000065833	0.66	0.008339759
ENSG00000160766	0.66	0.008345713
ENSG00000124459	0.43	0.008345713
ENSG00000183291	-0.4	0.008362811
ENSG00000240291	-1.2	0.008362811
ENSG00000160256	-1.01	0.008378562
ENSG00000130338	0.43	0.008431655
ENSG00000150636	1.05	0.008431655
ENSG00000102007	-0.48	0.008431655
ENSG00000131323	0.42	0.008478372
ENSG00000265763	2.97	0.008493056
ENSG00000267121	0.95	0.008523502
ENSG00000162298	-0.31	0.008570012
ENSG00000178567	0.28	0.008595507
ENSG00000196843	-0.71	0.008656552
ENSG00000128805	0.73	0.008671611
ENSG00000156869	0.79	0.008707254
ENSG00000128606	2.18	0.008708908
ENSG00000168781	0.81	0.008755879
ENSG00000110442	0.37	0.008761021
ENSG00000198954	-0.31	0.008762154
ENSG00000101843	0.4	0.008800101
ENSG00000112972	0.41	0.00880883
ENSG00000119900	-0.54	0.008823496
ENSG00000178209	-0.84	0.008828659
ENSG00000156261	-0.27	0.008859063
ENSG00000155850	-0.39	0.008904204
ENSG00000121104	0.52	0.008962247
ENSG00000213625	-0.37	0.008965818
ENSG00000164039	0.46	0.008965818
ENSG00000196072	0.46	0.008965818
ENSG00000267528	2.08	0.008965818
ENSG00000144744	-0.33	0.008967807
ENSG00000004700	-0.38	0.009006415
ENSG00000259953	-0.79	0.009007374
ENSG00000166123	0.55	0.009007374
ENSG00000226328	-0.81	0.009014188
ENSG00000175928	2.17	0.009026086
ENSG00000164535	-0.42	0.009026086
ENSG00000031823	0.39	0.009026086
ENSG00000146535	-0.38	0.009094552
ENSG00000105402	-0.33	0.009139551
ENSG00000143013	0.39	0.009140298
ENSG00000182732	2.65	0.009144234
ENSG00000197119	0.64	0.009300201
ENSG00000088179	0.45	0.00931606
ENSG00000069399	0.59	0.00931606
ENSG00000198018	0.83	0.009367928
ENSG00000254109	-1.01	0.009374945
ENSG00000072121	0.4	0.009379591
ENSG00000279118	-1.51	0.009425378
ENSG00000219565	-3.73	0.009425378
ENSG00000263465	-0.51	0.009425378
ENSG00000022840	-0.27	0.009433439
ENSG00000151835	0.74	0.009443166
ENSG00000138002	0.37	0.009472229
ENSG00000128908	-0.37	0.009532977
ENSG00000129250	-0.51	0.009549466
ENSG00000084652	-0.41	0.00956217
ENSG00000103005	-0.35	0.00956217
ENSG00000051825	0.43	0.009564843
ENSG00000184949	0.81	0.009565578
ENSG00000166997	0.48	0.009592504
ENSG00000158985	-0.54	0.009598484
ENSG00000148411	-0.38	0.009709774
ENSG00000237928	-2.98	0.009749858
ENSG00000118579	-0.37	0.009749858
ENSG00000100485	-0.51	0.009749858
ENSG00000107130	0.49	0.009756016
ENSG00000150403	-0.29	0.009776707
ENSG00000181481	-0.45	0.009776707
ENSG00000136193	-0.44	0.009873488
ENSG00000213699	-0.3	0.00990218
ENSG00000179632	-0.27	0.009909219
ENSG00000121361	-0.74	0.009909219
ENSG00000150967	0.77	0.009909695
ENSG00000145041	-0.36	0.009947776
ENSG00000048342	0.41	0.009947776
ENSG00000048405	-0.39	0.009972179
ENSG00000159167	-2.29	0.009990692
ENSG00000175066	-0.68	0.009992147
ENSG00000104951	2.29	0.010082144
ENSG00000171097	0.79	0.010086717
ENSG00000103150	-0.65	0.010106804
ENSG00000130340	0.48	0.010107943
ENSG00000077713	-0.49	0.010165843
ENSG00000122507	0.36	0.010234052
ENSG00000121858	1.01	0.010268186
ENSG00000089006	-0.41	0.01029053
ENSG00000120696	0.47	0.010325256
ENSG00000156113	0.63	0.010358381
ENSG00000162512	0.5	0.010361223
ENSG00000177606	1.08	0.010361223
ENSG00000166681	-0.38	0.01046661
ENSG00000162869	-0.5	0.010547724
ENSG00000135976	0.66	0.010662463
ENSG00000170113	-0.34	0.010662463
ENSG00000133059	0.45	0.010799842
ENSG00000213420	1.57	0.010799842
ENSG00000106034	-1.09	0.010840841
ENSG00000122376	-0.4	0.010888127
ENSG00000111481	0.25	0.010888127
ENSG00000149346	0.6	0.010893737
ENSG00000122679	4.03	0.010939627
ENSG00000136158	-0.63	0.010953063
ENSG00000183655	-0.63	0.010968584
ENSG00000112137	1.13	0.010999384
ENSG00000229036	0.77	0.011009049
ENSG00000255874	0.94	0.011009049
ENSG00000115840	-0.49	0.01103601
ENSG00000241058	0.66	0.01103601
ENSG00000243364	0.84	0.011048547
ENSG00000070366	0.33	0.011093428
ENSG00000156876	0.73	0.011093613
ENSG00000107937	-0.49	0.01112559
ENSG00000120802	0.4	0.01112559
ENSG00000196914	-0.32	0.011134077
ENSG00000065308	-0.21	0.011152673
ENSG00000103742	2.13	0.011155849
ENSG00000160991	0.53	0.011210042
ENSG00000023608	-0.72	0.011218071
ENSG00000205937	-0.3	0.011229022
ENSG00000223756	0.57	0.011252674
ENSG00000119537	-0.59	0.011256794
ENSG00000273038	-0.9	0.011289794
ENSG00000156471	0.52	0.011313937
ENSG00000185499	-0.84	0.011387488
ENSG00000164172	0.44	0.011394223
ENSG00000241553	-0.47	0.011399267
ENSG00000225783	1.82	0.011399267
ENSG00000099256	0.43	0.011401397
ENSG00000130150	-0.7	0.011401397
ENSG00000043143	-0.32	0.011412939
ENSG00000136925	0.38	0.011412939
ENSG00000087338	-0.44	0.011427904
ENSG00000167705	-0.64	0.011430781
ENSG00000131899	0.44	0.011430781
ENSG00000213445	-0.56	0.011440245
ENSG00000184465	0.46	0.011452391
ENSG00000170323	-3.35	0.011452391
ENSG00000277288	3.08	0.011511918
ENSG00000237807	0.72	0.011522048
ENSG00000197594	-1.34	0.011579315
ENSG00000008853	-0.56	0.011582609
ENSG00000109184	-0.35	0.011613157
ENSG00000104142	-0.44	0.011633057
ENSG00000172955	-1.01	0.011664531
ENSG00000197006	0.26	0.01167973
ENSG00000103222	0.41	0.011700658
ENSG00000151623	0.91	0.011734226
ENSG00000169857	-0.66	0.011805065
ENSG00000143493	0.58	0.011812476
ENSG00000134697	-0.48	0.011867102
ENSG00000167642	-2.03	0.011941645
ENSG00000165125	-1.71	0.012018809
ENSG00000116406	-0.37	0.012097647
ENSG00000135111	0.44	0.012097647
ENSG00000198246	0.49	0.012099963
ENSG00000132406	-0.37	0.01210398
ENSG00000153936	-0.85	0.012158539
ENSG00000151151	-0.64	0.012158539
ENSG00000151229	-0.42	0.012188362
ENSG00000100714	-0.31	0.012196421
ENSG00000164808	-0.3	0.012239168
ENSG00000122641	-1.09	0.012255092
ENSG00000142794	-0.45	0.012292132
ENSG00000148925	0.33	0.012321557
ENSG00000143702	0.42	0.012326766
ENSG00000198830	0.33	0.012352013
ENSG00000116299	1.09	0.012352013
ENSG00000121653	0.7	0.012352013
ENSG00000181045	0.36	0.012352013
ENSG00000185561	-0.92	0.012540045
ENSG00000163755	0.32	0.012576601
ENSG00000112146	-0.29	0.01264885
ENSG00000180182	-0.28	0.01268987
ENSG00000080845	0.24	0.012706936
ENSG00000112218	-1.43	0.012759267
ENSG00000215251	-0.58	0.012767739
ENSG00000111737	-0.41	0.012879983
ENSG00000133106	-0.66	0.012879983
ENSG00000008083	-0.45	0.012981399
ENSG00000232871	2.48	0.012981399
ENSG00000180881	0.63	0.013026958
ENSG00000170364	-0.6	0.013035721
ENSG00000166165	-0.79	0.013050037
ENSG00000120837	-1.03	0.013098739
ENSG00000131089	0.34	0.013100328
ENSG00000144648	-2.17	0.013151282
ENSG00000166292	-1.4	0.013151282
ENSG00000004866	0.56	0.013155737
ENSG00000134070	1.02	0.013158785
ENSG00000196405	0.43	0.013169491
ENSG00000172954	-0.91	0.013250609
ENSG00000140092	-0.33	0.013250609
ENSG00000178734	1.62	0.013284849
ENSG00000163870	-0.35	0.013286799
ENSG00000189077	-0.39	0.013291192
ENSG00000186469	1.03	0.013291192
ENSG00000224470	-0.43	0.013297213
ENSG00000104738	0.47	0.013315943
ENSG00000157538	-0.37	0.01334655
ENSG00000148158	0.57	0.013355186
ENSG00000253139	-2.26	0.013565793
ENSG00000115998	0.39	0.013569029
ENSG00000143753	-0.4	0.013592712
ENSG00000173915	-0.37	0.013593022
ENSG00000076685	-0.46	0.013622698
ENSG00000054938	1.37	0.013631154
ENSG00000058262	0.29	0.013666669
ENSG00000021776	-0.26	0.013668708
ENSG00000105810	0.71	0.013675262
ENSG00000148814	0.49	0.013676075
ENSG00000123179	-0.5	0.013678235
ENSG00000152580	1.16	0.013692374
ENSG00000279204	-1.38	0.013727633
ENSG00000256713	3.39	0.013727633
ENSG00000106948	0.77	0.013751591
ENSG00000110203	1.54	0.013751591
ENSG00000169946	0.57	0.013759552
ENSG00000167114	-0.44	0.013842838
ENSG00000144120	0.73	0.013868238
ENSG00000179431	-0.63	0.013868238
ENSG00000230124	0.34	0.013911996
ENSG00000184205	0.53	0.01394849
ENSG00000277397	2.48	0.013987608
ENSG00000182379	1.23	0.014006334
ENSG00000270689	-4.13	0.014041151
ENSG00000147437	-0.7	0.014158103
ENSG00000143772	0.86	0.014286109
ENSG00000174804	-0.81	0.014288197
ENSG00000104894	1.18	0.014288197
ENSG00000155511	-0.86	0.014332188
ENSG00000174738	0.6	0.014345561
ENSG00000250657	3.37	0.014345561
ENSG00000013583	-0.4	0.014345561
ENSG00000166780	-0.54	0.014365201
ENSG00000183023	0.82	0.014416276
ENSG00000075539	-0.36	0.014455712
ENSG00000153214	-0.68	0.014479308
ENSG00000092853	1.15	0.014570847
ENSG00000226887	-2.54	0.014597776
ENSG00000144306	0.31	0.014601967
ENSG00000158806	1.16	0.014601967
ENSG00000128510	2.27	0.014649482
ENSG00000102781	-0.33	0.014649482
ENSG00000128274	-0.52	0.014649482
ENSG00000104825	-0.34	0.014709948
ENSG00000104886	-0.44	0.014937409
ENSG00000240764	1.24	0.014977055
ENSG00000102226	0.2	0.015073943
ENSG00000196465	0.41	0.015110377
ENSG00000162496	-1.13	0.015233561
ENSG00000198478	0.44	0.015300532
ENSG00000165240	0.37	0.015300532
ENSG00000173065	-0.41	0.015351242
ENSG00000186260	0.4	0.015367684
ENSG00000148841	-0.49	0.015375042
ENSG00000100528	-0.48	0.015408156
ENSG00000126767	-0.41	0.015527458
ENSG00000136986	-0.32	0.015656482
ENSG00000222009	0.68	0.015669079
ENSG00000170745	-0.95	0.015761251
ENSG00000213281	-0.3	0.015775987
ENSG00000114978	-0.31	0.015775987
ENSG00000116106	-1.38	0.015775987
ENSG00000172123	-0.64	0.015792673
ENSG00000119953	-0.32	0.015799193
ENSG00000063660	0.43	0.015838817
ENSG00000154582	-0.27	0.015850441
ENSG00000196345	0.6	0.016042858
ENSG00000140374	-0.31	0.016077752
ENSG00000151470	0.6	0.016086486
ENSG00000145861	1.03	0.016086486
ENSG00000198933	-0.37	0.016096524
ENSG00000123416	0.77	0.016109959
ENSG00000177663	-0.49	0.016109959
ENSG00000078070	-0.55	0.016135801
ENSG00000173548	-0.35	0.016144482
ENSG00000267023	0.62	0.016176389
ENSG00000173545	-0.33	0.016217061
ENSG00000020129	0.49	0.016257164
ENSG00000220785	0.66	0.016342175
ENSG00000105996	0.79	0.016342175
ENSG00000235823	0.75	0.016342175
ENSG00000140299	-0.29	0.016342175
ENSG00000155085	0.65	0.016372186
ENSG00000031081	0.68	0.016393886
ENSG00000112297	-0.64	0.016393886
ENSG00000214174	0.56	0.016393886
ENSG00000162545	-0.81	0.01641458
ENSG00000178038	1.03	0.01641458
ENSG00000112304	0.51	0.01641458
ENSG00000183092	3.37	0.016473997
ENSG00000163611	0.48	0.016494745
ENSG00000198363	0.32	0.016494745
ENSG00000249115	0.64	0.016525683
ENSG00000135093	0.4	0.016635734
ENSG00000074201	0.24	0.016660897
ENSG00000211456	-0.25	0.016829945
ENSG00000159792	-0.3	0.016837654
ENSG00000069535	-1.2	0.016883756
ENSG00000072134	-0.4	0.016951136
ENSG00000161642	0.81	0.016996974
ENSG00000167657	-0.43	0.017121838
ENSG00000138829	-2.08	0.017143185
ENSG00000099139	0.51	0.017200914
ENSG00000264007	-1.87	0.017282442
ENSG00000165105	1.87	0.017323378
ENSG00000196123	0.91	0.017380239
ENSG00000111224	0.45	0.017409776
ENSG00000152558	-0.36	0.017444921
ENSG00000100577	0.38	0.017444921
ENSG00000244301	-2.15	0.017562899
ENSG00000166670	2.79	0.017630162
ENSG00000166173	0.41	0.017703239
ENSG00000144118	-0.27	0.017768692
ENSG00000173744	-0.44	0.017768692
ENSG00000162441	0.41	0.017821394
ENSG00000196968	-0.29	0.017841618
ENSG00000173039	-0.24	0.017841618
ENSG00000120688	-0.34	0.017841618
ENSG00000126218	-0.7	0.017910339
ENSG00000221994	1.04	0.017923881
ENSG00000168769	0.46	0.017926871
ENSG00000260920	0.94	0.018052154
ENSG00000273179	1.41	0.018052154
ENSG00000165732	-0.51	0.018052154
ENSG00000151914	0.37	0.018101151
ENSG00000171385	-1.5	0.01813705
ENSG00000108061	-0.28	0.018192866
ENSG00000138382	-0.49	0.018237612
ENSG00000143067	0.72	0.018269905
ENSG00000111911	0.5	0.018304031
ENSG00000006451	0.58	0.018304031
ENSG00000033327	-0.38	0.018304031
ENSG00000132256	0.59	0.018438636
ENSG00000139220	-1.34	0.018603835
ENSG00000137331	1.25	0.018651241
ENSG00000172725	-0.36	0.018653844
ENSG00000196961	-0.24	0.018684754
ENSG00000073331	0.37	0.01869885
ENSG00000157954	-0.34	0.018725201
ENSG00000082126	-1.22	0.018797913
ENSG00000037637	-0.36	0.018813676
ENSG00000138400	1.07	0.018818759
ENSG00000164106	-1.59	0.018861655
ENSG00000131797	0.6	0.018890378
ENSG00000079313	-0.33	0.018890378
ENSG00000104365	-0.26	0.018985396
ENSG00000176928	-1.96	0.018993674
ENSG00000138459	-0.31	0.01907752
ENSG00000174839	-0.7	0.019105271
ENSG00000080573	-0.93	0.019115275
ENSG00000134744	0.36	0.019144993
ENSG00000154654	0.79	0.019144993
ENSG00000223811	2.83	0.019285158
ENSG00000134108	-0.28	0.019342475
ENSG00000134259	1.4	0.019348043
ENSG00000095380	-0.36	0.019348043
ENSG00000178449	-0.47	0.019351203
ENSG00000168175	-0.33	0.019392119
ENSG00000131507	-0.4	0.019432075
ENSG00000213930	0.52	0.019465458
ENSG00000166037	0.29	0.019465458
ENSG00000184867	0.39	0.019465458
ENSG00000102882	0.27	0.019466327
ENSG00000197702	-0.41	0.01956882
ENSG00000170876	-0.35	0.019604375
ENSG00000197496	-0.49	0.019646039
ENSG00000005249	-0.65	0.019702343
ENSG00000254004	0.46	0.019731238
ENSG00000162493	-1.89	0.01989559
ENSG00000240771	-0.38	0.01989559
ENSG00000152377	-0.85	0.020030931
ENSG00000175348	-0.37	0.020120709
ENSG00000198818	-0.38	0.020127558
ENSG00000164142	-2.27	0.020218262
ENSG00000003987	-0.99	0.020218262
ENSG00000128262	-1.8	0.020218262
ENSG00000137500	0.26	0.020320161
ENSG00000188153	0.9	0.020320161
ENSG00000110492	0.48	0.020556994
ENSG00000021645	-1.91	0.020556994
ENSG00000156162	-0.46	0.020561405
ENSG00000067955	-0.45	0.020561405
ENSG00000131100	-0.32	0.020561405
ENSG00000206530	0.57	0.020563913
ENSG00000172732	-0.32	0.020606946
ENSG00000148082	-0.74	0.020756084
ENSG00000132854	3.37	0.020832072
ENSG00000139437	-0.36	0.020832072
ENSG00000132321	1.5	0.020844498
ENSG00000184185	-0.96	0.020844498
ENSG00000103035	-0.27	0.020846339
ENSG00000118515	-0.53	0.020872394
ENSG00000181072	0.71	0.020890045
ENSG00000169446	-0.45	0.020890045
ENSG00000117152	1.11	0.02091117
ENSG00000163577	-0.57	0.02091117
ENSG00000181904	-0.31	0.020928448
ENSG00000158125	-1.36	0.020949941
ENSG00000113119	-0.52	0.020949941
ENSG00000083520	-0.32	0.020955051
ENSG00000163823	1.82	0.020975833
ENSG00000124831	-0.62	0.020975948
ENSG00000119943	0.59	0.020975948
ENSG00000205476	0.59	0.020975948
ENSG00000136378	-0.77	0.020980064
ENSG00000106261	0.34	0.021100396
ENSG00000197601	-0.3	0.021136341
ENSG00000132801	0.58	0.021175634
ENSG00000135778	0.42	0.021230034
ENSG00000148672	-0.27	0.021232447
ENSG00000108684	2.3	0.021277234
ENSG00000123505	-0.37	0.02129245
ENSG00000159674	0.97	0.021310516
ENSG00000168300	0.36	0.021319177
ENSG00000121892	-0.24	0.021327754
ENSG00000157107	-0.38	0.021373285
ENSG00000117602	-0.9	0.021401822
ENSG00000187634	1.5	0.021429449
ENSG00000213073	0.68	0.021429561
ENSG00000137642	1.65	0.021481554
ENSG00000260822	-0.85	0.021481554
ENSG00000104205	-0.61	0.021485734
ENSG00000197265	-0.3	0.021487249
ENSG00000136051	-0.35	0.021507097
ENSG00000197008	0.64	0.021523766
ENSG00000158828	-0.32	0.021565122
ENSG00000175073	-0.26	0.021566466
