ID	Log2FoldChange	PValue
ENSG00000155962	1.24	5.52E-09
ENSG00000198960	0.72	5.64E-09
ENSG00000100994	-0.59	5.76E-09
ENSG00000170989	1.48	6.16E-09
ENSG00000142327	-0.6	6.99E-09
ENSG00000107968	-1.13	7.2E-09
ENSG00000136859	0.88	7.33E-09
ENSG00000243244	-1.44	7.96E-09
ENSG00000188215	-0.77	8.22E-09
ENSG00000158079	-0.94	8.51E-09
ENSG00000120162	-2.8	8.51E-09
ENSG00000196850	-1.19	8.66E-09
ENSG00000168890	-0.92	9.39E-09
ENSG00000152495	1.31	9.74E-09
ENSG00000136436	-1.15	9.86E-09
ENSG00000226950	-1.13	1.02E-08
ENSG00000093167	-0.71	1.04E-08
ENSG00000146122	-1.65	1.09E-08
ENSG00000132622	2.31	1.21E-08
ENSG00000130513	1.85	1.3E-08
ENSG00000164050	-0.79	1.55E-08
ENSG00000172349	-0.96	1.57E-08
ENSG00000112658	-0.94	1.77E-08
ENSG00000154930	-1.89	1.77E-08
ENSG00000023909	-1.25	1.86E-08
ENSG00000134531	-0.99	1.86E-08
ENSG00000116711	2.5	1.86E-08
ENSG00000164104	-1.24	1.87E-08
ENSG00000102554	-2.57	1.91E-08
ENSG00000181027	-0.63	2.15E-08
ENSG00000163251	-2.49	2.2E-08
ENSG00000154262	-1.04	2.26E-08
ENSG00000113916	-0.8	2.32E-08
ENSG00000119711	-1.23	2.36E-08
ENSG00000182718	-0.67	2.38E-08
ENSG00000128165	2.69	2.45E-08
ENSG00000168398	1.99	2.54E-08
ENSG00000117758	-0.97	2.6E-08
ENSG00000102466	-0.99	2.69E-08
ENSG00000169764	-0.89	2.96E-08
ENSG00000147130	0.58	3.06E-08
ENSG00000172939	-0.46	3.07E-08
ENSG00000226137	0.59	3.07E-08
ENSG00000134684	0.74	3.42E-08
ENSG00000164442	-1.62	3.42E-08
ENSG00000068831	-1.96	3.86E-08
ENSG00000137767	-1.03	4.04E-08
ENSG00000116962	-1.56	4.09E-08
ENSG00000102524	1.75	4.13E-08
ENSG00000167460	-0.73	4.21E-08
ENSG00000225313	-1.15	4.49E-08
ENSG00000182552	-1.09	4.55E-08
ENSG00000091136	-0.77	4.76E-08
ENSG00000100154	0.77	4.81E-08
ENSG00000198189	-0.78	4.84E-08
ENSG00000196616	-1.21	4.86E-08
ENSG00000177426	-0.92	5.13E-08
ENSG00000158716	-1.34	5.29E-08
