id	source	target
link_151	OTU_76	OTU_90
link_152	OTU_76	OTU_103
link_153	OTU_76	OTU_104
link_154	OTU_76	OTU_116
link_155	OTU_76	OTU_119
link_156	OTU_79	OTU_124
link_157	OTU_82	OTU_103
link_158	OTU_82	OTU_104
link_159	OTU_82	OTU_116
link_160	OTU_82	OTU_119
link_161	OTU_87	OTU_110
link_162	OTU_88	OTU_114
link_163	OTU_89	OTU_90
link_164	OTU_90	OTU_103
link_165	OTU_90	OTU_104
link_166	OTU_90	OTU_116
link_167	OTU_90	OTU_119
link_168	OTU_93	OTU_117
link_169	OTU_95	OTU_112
link_170	OTU_99	OTU_123
link_171	OTU_99	OTU_126
link_172	OTU_103	OTU_104
link_173	OTU_103	OTU_116
link_174	OTU_103	OTU_119
link_175	OTU_104	OTU_116
link_176	OTU_104	OTU_119
link_177	OTU_116	OTU_119
link_178	OTU_123	OTU_126
